"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"30","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X13_P1","X8_P1","X12_P1","X12_by_X3_P1","X12_by_X13_P1","X14_P1","X12_by_X14_P1","X29_P4","X16_P3","X1_by_X3_P3","X14_by_X5_P3","X18_P1","X1_by_X16_P3","X12_by_X18_P1"
"31","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X22_P1","X8_P1","X22_by_X3_P1","X20_P1","X17_P4","X20_by_X3_P1","X20_by_X5_P3","X20_by_X22_P1","X17_by_X22_P3","X27_P1","X50_P1","X3_by_X8_P1","X45_P4"
"32","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X20_P1","X8_P1","X40_P1","X3_by_X8_P1","X20_by_X8_P1","X9_P2","X1_by_X3_P3","X20_by_X40_P3","X20_by_X3_P1","X26_P3","X49_P1","X10_P4","X19_P1","X15_P3"
"33","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X10_P1","X10_by_X3_P1","X8_P1","X15_P1","X29_P1","X1_by_X3_P3","X23_P4","X29_by_X3_P1","X15_by_X29_P3","X47_P1","X3_by_X47_P1","X15_by_X47_P1","X14_P3","X14_by_X3_P3"
"34","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X50_P1","X3_by_X50_P1","X8_P1","X20_P1","X1_by_X3_P3","X47_P1","X10_P4","X20_by_X3_P1","X20_by_X50_P3","X11_P3","X49_P1","X13_P1","X13_by_X3_P1","X14_P3"
"35","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X46_P1","X3_by_X46_P1","X8_P1","X46_by_X8_P1","X3_by_X8_P1","X35_P1","X39_P4","X1_by_X3_P3","X33_P3","X36_P1","X35_by_X36_P1","X36_by_X46_P3","X24_P4","X24_by_X33_P1"
"36","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X35_P1","X8_P1","X3_by_X35_P1","X23_P1","X23_by_X35_P1","X20_P4","X21_P1","X17_P3","X23_by_X3_P1","X49_P1","X42_P3","X11_P1","X21_by_X3_P1"
"37","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X43_P1","X8_P1","X3_by_X43_P1","X10_P1","X1_by_X3_P3","X34_P1","X34_by_X43_P3","X45_P4","X10_by_X43_P1","X10_by_X3_P1","X13_P3","X27_P1","X38_P2","X50_P3"
"38","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X8_P1","X21_P1","X21_by_X3_P1","X21_by_X8_P1","X41_P1","X11_P4","X21_by_X41_P3","X3_by_X41_P1","X33_P1","X16_P3","X46_P1","X3_by_X46_P1","X21_by_X46_P1"
"39","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X3_P1","X50_P1","X1_by_X5_P1","X3_by_X50_P1","X8_P1","X50_by_X8_P1","X37_P1","X27_P4","X37_by_X8_P1","X3_by_X8_P1","X37_by_X50_P1","X5_by_X50_P3","X13_P2","X3_by_X37_P1","X46_P1"
"40","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X3_P1","X3_by_X5_P2","X20_P1","X1_by_X5_P1","X20_by_X3_P1","X8_P3","X20_by_X8_P1","X9_P4","X46_P1","X46_by_X8_P1","X20_by_X46_P1","X12_P2","X3_by_X46_P1","X38_P2","X23_P3","X3_by_X8_P1"
"41","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X35_P1","X3_by_X35_P1","X8_P1","X35_by_X8_P1","X3_by_X8_P1","X15_P4","X1_by_X3_P3","X32_P3","X17_P1","X17_by_X35_P1","X17_by_X8_P1","X42_P3","X17_by_X3_P1","X46_P1"
"42","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X2_P1","X1_by_X3_P3","X8_P1","X2_by_X3_P1","X13_P1","X13_by_X3_P1","X31_P4","X11_P1","X29_P3","X13_by_X2_P1","X47_P1","X29_by_X3_P3","X22_P1","X22_by_X3_P1"
"43","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X28_P1","X8_P1","X28_by_X3_P1","X41_P1","X3_by_X41_P1","X28_by_X41_P1","X10_P4","X1_by_X3_P3","X22_P3","X12_P1","X12_by_X41_P1","X24_P3","X44_P4","X44_by_X5_P3"
"44","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X26_P1","X26_by_X3_P1","X8_P1","X49_P1","X1_by_X3_P3","X3_by_X49_P1","X26_by_X49_P1","X17_P4","X4_P1","X4_by_X49_P3","X34_P1","X34_by_X5_P3","X26_by_X34_P1","X13_P4"
