"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"76","mu_t","X1","X5","X1:X5","X3","X3:X5","X42","X3:X42","X8","X18","X18:X42","X18:X3","X1:X3","X43","X30","X42:X8","X35","X32","X35:X5","X39"
"77","mu_t","X1","X5","X3","X1:X5","X3:X5","X40","X3:X40","X8","X21","X1:X3","X37","X19","X21:X40","X3:X37","X37:X40","X37:X8","X2","X21:X37","X21:X3"
"78","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X22","X8","X22:X3","X33","X3:X33","X41","X33:X41","X44","X28","X3:X41","X22:X33","X3:X44","X7"
"79","mu_t","X1","X5","X1:X5","X3","X3:X5","X22","X8","X22:X8","X22:X3","X1:X3","X2","X2:X22","X38","X48","X3:X8","X14","X2:X8","X14:X38","X27"
"80","mu_t","X1","X5","X1:X5","X3","X3:X5","X37","X3:X37","X8","X30","X1:X3","X43","X3:X43","X29","X38","X29:X3","X30:X38","X27","X23","X50"
"81","mu_t","X1","X5","X3","X1:X5","X3:X5","X16","X16:X3","X8","X16:X8","X9","X38","X1:X3","X16:X9","X28","X37","X3:X8","X8:X9","X19","X34"
"82","mu_t","X1","X5","X3","X3:X5","X1:X3","X1:X5","X36","X8","X21","X21:X3","X42","X24","X42:X8","X24:X3","X36:X42","X3:X42","X30","X21:X42","X3:X8"
"83","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X10","X8","X10:X8","X11","X3:X8","X32","X17","X47","X46","X46:X8","X32:X8","X1:X17","X10:X3"
"84","mu_t","X1","X5","X1:X5","X3","X3:X5","X34","X3:X34","X8","X43","X3:X43","X41","X1:X3","X12","X3:X41","X34:X8","X23","X14","X41:X8","X28"
"85","mu_t","X1","X5","X3","X3:X5","X1:X5","X44","X3:X44","X1:X3","X8","X44:X8","X48","X49","X3:X49","X32","X3:X8","X45","X34","X48:X5","X44:X49"
"86","mu_t","X1","X5","X1:X5","X3","X3:X5","X28","X28:X3","X8","X28:X8","X38","X3:X8","X26","X1:X3","X9","X3:X9","X36","X3:X36","X24","X39"
